frame,timestamp,iso,shutter,fnum,ev,ct,color_md,focal_len,latitude,longitude,rel_alt,abs_alt
129,2022-10-07 17:52:17.804,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
130,2022-10-07 17:52:17.837,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
131,2022-10-07 17:52:17.870,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
132,2022-10-07 17:52:17.904,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
133,2022-10-07 17:52:17.937,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
134,2022-10-07 17:52:17.971,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
135,2022-10-07 17:52:18.004,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
136,2022-10-07 17:52:18.037,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
137,2022-10-07 17:52:18.070,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
138,2022-10-07 17:52:18.104,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
139,2022-10-07 17:52:18.137,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
140,2022-10-07 17:52:18.171,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
141,2022-10-07 17:52:18.204,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
142,2022-10-07 17:52:18.238,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
143,2022-10-07 17:52:18.271,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
144,2022-10-07 17:52:18.304,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
145,2022-10-07 17:52:18.337,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
146,2022-10-07 17:52:18.371,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
147,2022-10-07 17:52:18.405,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
148,2022-10-07 17:52:18.438,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
149,2022-10-07 17:52:18.471,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
150,2022-10-07 17:52:18.504,280,1/100.0,2.8,0.0,6538,default,24.0,37.38892,126.66295,146.0,94.465
